epoch,train loss,valid loss,f1,auc
0,0.5031063039680473,0.46879793087641397,0.05041932988220776,0.5001825325366261
1,0.4972159568476313,0.46868504683176676,0.044519875699616705,0.5023006077061121
2,0.49863332163059076,0.4668615790208181,0.0167344120518578,0.5007199767826466
3,0.4968662409268263,0.4663447193304698,0.06131445776077828,0.49984373790621106
4,0.49589548720658283,0.4689423092206319,0.04866614632922217,0.5005310780450246
5,0.49549026468782936,0.47138070583343505,0.05618386487488658,0.5005511108951847
6,0.49606038868882274,0.4671533425649007,0.059950957725309006,0.4995005386771268
7,0.4951403982766712,0.46797874172528586,0.048684165548171406,0.4999083043744544
8,0.4937803686120128,0.466878688732783,0.0693144044485016,0.5013199793671974
9,0.49397954583623027,0.46551823218663535,0.05503249262829311,0.5008210510548735
10,0.4933945105503534,0.4643553400039673,0.05132666252543009,0.5005932283348317
11,0.49294964013663867,0.46556227842966713,0.059183123380228624,0.501676811035079
12,0.49314797317026227,0.47037336945533753,0.052633348752167526,0.5007888886514188
13,0.4924749389063311,0.46938586870829263,0.07791556475565387,0.5035471207416452
14,0.4928750790484989,0.4656132483482361,0.08349139947366013,0.5043203958444261
15,0.4922429579132386,0.4665172108014425,0.07728501467139748,0.5039607535622869
16,0.49178029989240735,0.463988223473231,0.08132869787661803,0.5047607986081831
17,0.4921997340808388,0.46331003189086917,0.06502488054091812,0.5027888045271289
18,0.49125838672159283,0.46617246508598326,0.06689301802510601,0.5048068219561658
19,0.49080294313776585,0.4651077842712402,0.057755957773486334,0.5015068325503086
20,0.49058242221824994,0.46391179045041403,0.09253231541444909,0.5064454538986297
21,0.4905059691945105,0.46327754815419514,0.09672599132100206,0.507991916078622
22,0.49106919100038876,0.46978939334551495,0.09557729951861636,0.5070746465615168
23,0.49114161547813706,0.4615834367275238,0.06806711368409372,0.5039416771527704
24,0.4909311895265834,0.46323296705881756,0.08319473309388474,0.5059109906360708
25,0.4911381031834442,0.4629887302716573,0.08726249278730847,0.5075443256075768
26,0.4908056518503728,0.4675919735431671,0.07023452602658346,0.5034358981023226
27,0.4901169259812086,0.4649312694867452,0.0817918059491749,0.5047098429244928
28,0.48979897654921045,0.4661065034071604,0.07125902680921797,0.5036570579089868
29,0.48978138021157896,0.4643839140733083,0.10992965602860942,0.5086088046237658
30,0.4889533675012698,0.46111895561218263,0.09591281957563466,0.5083331198165134
31,0.4888601160345187,0.4615789560476939,0.09050657774171689,0.5067070711461494
32,0.4886767019638578,0.4628203535079956,0.08916285676217657,0.5086758900447528
33,0.4886101441073964,0.46134594480196633,0.093478206542976,0.5075075277059656
34,0.48830816189523873,0.4636541247367859,0.09244329520688357,0.5078179426535533
35,0.4883118213246797,0.4622899389266968,0.09290707378386294,0.508031628214676
36,0.4880341769174765,0.4656325896581014,0.09930561339841125,0.5092945750886002
37,0.4878564882483191,0.45862369100252787,0.1075778206193109,0.5110258713884543
38,0.487372922533341,0.4605140825112661,0.10664573124134079,0.5096476252780647
39,0.48741428900993505,0.45817553679148354,0.09831088048230055,0.5088841813650765
40,0.48687154282140366,0.4607725747426351,0.07892960879902351,0.5074081490864903
41,0.4869433964481791,0.4606914734840393,0.09697142999656079,0.5098757014838813
42,0.48730370339773993,0.45875603437423706,0.08756995023998938,0.5077090183013999
43,0.48715268388276795,0.4691748305161794,0.09941063790173242,0.5090199308696747
44,0.48681448644581643,0.46187161485354106,0.1127834623849203,0.5111293422973543
45,0.4866272509098053,0.4586382710933685,0.10958611039011776,0.5117730273279701
46,0.48599989268615956,0.4573177401224772,0.09666460025800792,0.5103452522532507
47,0.48563041350313724,0.4586012144883474,0.1016037568655107,0.510089956947463
48,0.4855432471701207,0.45896342873573304,0.09620325479245416,0.5079848919543914
49,0.4853212506943987,0.46020061333974205,0.1097780011662196,0.5121677861476573
